label,value
African Methodist Episcopal,51
African Methodist Episcopal Zion Church,24
American Baptist,52
American Evangelical Lutheran Church,22
American Lutheran,53
Assemblies of God Church,27
Baptist,54
Brethren Church,28
Christ and Missionary Alliance Church,34
Christian Church (Disciples of Christ),61
Christian Churches and Churches of Christ,48
Christian Methodist Episcopal,55
Christian Reformed Church,35
Church of Brethren,58
Church of God,57
Church of the Nazarene,59
Churches of Christ,74
Cumberland Presbyterian,60
Ecumenical Christian,101
"Episcopal Church, Reformed",50
Evangelical Christian,102
Evangelical Congregational Church,36
Evangelical Covenant Church of America,37
Evangelical Free Church of America,38
Evangelical Lutheran Church,39
Free Methodist,64
Free Will Baptist Church,41
Friends,65
Greek Orthodox,91
Interdenominational,42
International United Pentecostal Church,40
Jewish,80
Latter Day Saints (Mormon Church),94
Lutheran Church - Missouri Synod,68
Lutheran Church in America,67
Mennonite Brethren Church,43
Mennonite Church,69
Missionary Church Inc,87
Moravian Church,44
Multiple Protestant Denomination,78
North American Baptist,45
Original Free Will Baptist,100
Other Protestant,79
Pentecostal Holiness Church,47
Presbyterian,103
Presbyterian Church (USA),66
Protestant Episcopal,73
"Protestant, not specified",77
Reformed Church in America,49
Reformed Presbyterian Church,81
Roman Catholic,30
Russian Orthodox,92
Seventh Day Adventists,95
Southern Baptist,75
The Presbyterian Church in America,97
Undenominational,88
Unitarian Universalist,93
United Brethren Church,84
United Church of Christ,76
United Methodist,71
Wesleyan,89
Wisconsin Evangelical Lutheran Synod,33
Other (none of the above),99
